,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
15,3505.0,2013,8.0,,5.0,,False,True,,6.0,38.8167,-122.8498,True,McCabe Fire,188.0,2013-11-22 02:04:00+00:00,b4bc1480-cbb8-4ef2-8d5f-88a496d21d10,2013-11-27 18:15:00+00:00,136.18333333333334
16,3166.0,2013,36.0,5.0,62.0,,False,True,5.0,2.0,34.288877,-116.94131100000001,True,Summit Fire,726.0,2013-05-01 12:38:00+00:00,a1b14be5-a8cf-4e40-8588-96becf4c5879,2013-05-04 18:30:00+00:00,77.86666666666666
17,3111.0,2013,8.0,5.0,3.0,,False,True,,,37.90757,-121.88258200000001,True,Morgan Fire,231.0,2013-09-08 13:08:00+00:00,e33b2d80-7fec-4470-9e79-440d349b0d95,2013-09-14 17:30:00+00:00,148.36666666666667
18,2781.0,2013,33.0,25.0,73.0,,False,True,25.0,5.0,33.121109999999994,-116.52578999999999,True,San Felipe Fire,911.0,2013-05-23 12:20:00+00:00,859479e3-918c-42c6-bb74-5fdc17930a16,2013-05-26 17:45:00+00:00,77.41666666666667
19,2462.0,2013,33.0,28.0,95.0,,False,True,20.0,5.0,39.446267999999996,-121.38236,True,Swedes Fire,1484.0,2013-08-16 16:37:00+00:00,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,2013-08-22 18:00:00+00:00,145.38333333333333
20,2236.0,2013,,,,,False,True,,,33.341,-117.3092,False,DeLuz Fire,,2013-10-05 12:45:00+00:00,9fb847ce-44c7-4a11-a733-a6cc82838671,2013-10-09 19:00:00+00:00,102.25
21,2060.0,2013,,,,,False,True,,,36.208,-118.444,False,Fish Fire,,2013-08-24 14:31:00+00:00,a4de6058-c68c-4924-bfb5-dc8ecc3b54c0,2013-09-24 20:15:00+00:00,749.7333333333333
22,1984.0,2013,,,,,False,True,,,34.55048,-119.82428999999999,False,White Fire,,2013-05-27 14:45:00+00:00,abc61995-8bea-4be1-aa49-ee378ab3baaa,2013-05-30 19:30:00+00:00,76.75
23,1708.0,2013,2.0,,,,False,True,,1.0,37.58202,-119.91071000000001,True,Carstens Fire,112.0,2013-06-16 14:12:00+00:00,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,2013-06-26 11:15:00+00:00,237.05
24,1383.0,2013,,,,,False,True,,,33.62236,-117.40288000000001,False,Falls Fire,,2013-08-05 10:10:00+00:00,4867ac70-663e-48f4-b9ae-ca0a486234ca,2013-08-09 18:45:00+00:00,104.58333333333333
25,1271.0,2013,54.0,27.0,42.0,,False,True,27.0,6.0,33.044579999999996,-116.5209,True,General Fire,1217.0,2013-05-26 12:04:00+00:00,07a5397c-a665-4f84-9a82-5f689cb2c8f3,2013-05-31 06:15:00+00:00,114.18333333333334
26,1070.0,2013,,,,,False,True,,,38.25108,-120.02778,False,Power Fire,,2013-08-05 06:00:00+00:00,1e8441c2-f426-40b4-9f4f-3de9f7e232b9,2013-08-14 08:30:00+00:00,218.5
28,794.0,2013,,,,,False,True,,,35.707,-118.588,False,Shirley Fire,,2013-08-18 23:12:00+00:00,5421868e-52ba-4737-8169-325e0aa040e4,2013-08-24 13:45:00+00:00,134.55
29,712.0,2013,20.0,20.0,37.0,,False,True,20.0,5.0,34.882,-118.9194,True,Rancho Fire,502.0,2013-07-19 12:00:00+00:00,591a56a5-e9c0-45a0-96bd-34098588c39b,2013-07-22 18:45:00+00:00,78.75
30,712.0,2013,,,,,False,True,,,34.49149,-118.61004399999999,False,Lake Fire,,2013-05-17 13:23:00+00:00,39af7eac-c188-411f-8c8a-d165c5fca4a9,2013-05-18 19:00:00+00:00,29.616666666666667
31,612.0,2013,,,,,False,True,,,34.90327,-118.93388,False,Water Fire,,2013-07-23 09:15:00+00:00,86faecab-ed3a-4fce-95cf-89433a825c72,2013-07-25 18:30:00+00:00,57.25
32,572.0,2013,,,,,False,True,,,38.774,-120.29799999999999,False,Kyburz Fire,,2013-07-08 12:45:00+00:00,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,2013-07-11 18:30:00+00:00,77.75
33,534.0,2013,29.0,29.0,29.0,,False,True,29.0,,34.071556,-117.048397,True,Mills Fire,282.0,2013-06-28 14:30:00+00:00,6011819c-19ac-46c2-aa48-0ee8be0e48c0,2013-07-01 06:00:00+00:00,63.5
34,513.0,2013,,,,,False,True,,,40.00842,-120.76466599999999,False,Plumas Lightning Complex (Hough),,2013-08-18 18:30:00+00:00,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,2013-08-25 13:15:00+00:00,162.75
35,510.0,2013,,,,,False,True,,,33.894055,-116.855019,False,Gorgonio Fire,,2013-05-04 11:43:00+00:00,958ce6d2-97f9-4848-8620-d14ab87f329d,2013-05-05 18:45:00+00:00,31.033333333333335
36,502.0,2013,,,,,False,True,,,41.2415,-121.035,False,Fox Fire (formally 3-7 Fire),,2013-07-03 22:56:00+00:00,8b51033d-abc6-4ea4-8983-990ad4e1c45e,2013-07-05 18:30:00+00:00,43.56666666666667
37,500.0,2013,,,,,False,True,,,35.15832,-120.05131000000002,False,Branch Fire,,2013-06-01 17:27:00+00:00,213dc89e-9f29-4480-91a6-aec5fb694999,2013-06-03 18:30:00+00:00,49.05
38,492.0,2013,,,,,False,True,,,37.96866,-121.91453,False,Kirker Fire,,2013-07-01 13:19:00+00:00,522114fe-ada8-49a9-9bb2-5891103ff0ca,2013-07-01 18:40:00+00:00,5.35
39,482.0,2013,,,,,False,True,,,37.015575,-119.78106000000001,True,Rolling Fire,,2013-06-16 18:17:00+00:00,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,2013-06-18 19:30:00+00:00,49.21666666666667
40,413.0,2013,,,,,False,True,,,34.302,-117.598,False,Gobblers Fire,,2013-08-20 13:32:00+00:00,b202bd85-c5ef-4bdf-8270-d556f95c3742,2013-08-20 13:32:00+00:00,0.0
41,406.0,2013,25.0,25.0,25.0,,False,True,,2.0,36.602575,-118.01651000000001,True,River Fire,476.0,2013-02-24 08:16:00+00:00,094719ba-a47b-4abb-9ec5-a506b2b9fd23,2013-02-28 20:00:00+00:00,107.73333333333333
42,376.0,2013,,,1.0,,False,True,,,38.628,-122.289,True,Putah Fire,4.0,2013-10-03 20:33:00+00:00,1f94fce5-49a5-4220-bc99-f003ab4d3e60,2013-10-04 16:55:00+00:00,20.366666666666667
43,354.0,2013,,,,,False,True,,,37.160346000000004,-120.937494,False,Tres Pinos Fire,,2013-05-03 11:42:00+00:00,ca68f3c4-4906-4952-b794-4531d7da8369,2013-05-03 18:45:00+00:00,7.05
45,305.0,2013,4.0,1.0,15.0,,False,True,1.0,,39.439,-121.49700000000001,True,Summit Fire,259.0,2013-10-04 17:37:00+00:00,d922e7c8-814a-412b-a40b-53072d0983ea,2013-10-05 22:00:00+00:00,28.383333333333333
46,303.0,2013,,,,,False,True,,,38.049929999999996,-120.90325,False,Shelton Fire,,2013-05-30 11:20:00+00:00,0b51d59b-457d-4a62-b066-55c2b8d400e2,2013-05-30 13:25:00+00:00,2.0833333333333335
